Country,WHO Region,Cases - cumulative total,Cases - newly reported in last 7 days,Deaths - cumulative total,Deaths - newly reported in last 7 days
Global,N/A,769369823,34812,6954336,147
United States of America,Americas,103436829,0,1127152,0
China,Western Pacific,99300923,553,121628,0
India,South-East Asia,44996059,334,531918,1
France,Europe,38997490,0,167985,0
Germany,Europe,38437756,0,174979,0
Brazil,Americas,37717062,0,704659,0
Japan,Western Pacific,33803572,0,74694,0
Republic of Korea,Western Pacific,33554474,20255,35411,0
Italy,Europe,25918253,2187,191053,22
The United Kingdom,Europe,24656914,518,228542,0
Russian Federation,Europe,22980206,2932,399897,43
Turkey,Europe,17004677,0,101419,0
Spain,Europe,13980340,0,121852,0
Viet Nam,Western Pacific,11621997,114,43206,0
Australia,Western Pacific,11560270,0,22482,0
Argentina,Americas,10044957,0,130472,0
Netherlands,Europe,8616664,0,22986,0
Mexico,Americas,7633355,0,334336,0
Iran (Islamic Republic of),Eastern Mediterranean,7613070,109,146316,5
Indonesia,South-East Asia,6813095,55,161916,1
Poland,Europe,6518291,68,119635,0
Colombia,Americas,6378000,858,142961,19
Austria,Europe,6081287,0,22534,0
Portugal,Europe,5597751,0,27013,0
Ukraine,Europe,5518385,0,109904,0
Greece,Europe,5348223,0,37289,0
Chile,Americas,5289055,264,61614,9
Malaysia,Western Pacific,5121920,0,37181,0
Israel,Europe,4831826,258,12598,0
Belgium,Europe,4802854,1,34376,0
Thailand,South-East Asia,4755443,268,34437,12
Canada,Americas,4697504,0,53147,0
Czechia,Europe,4643190,120,42813,0
Peru,Americas,4517034,0,221364,0
Switzerland,Europe,4407773,0,14028,0
Philippines,Western Pacific,4173631,711,66626,0
South Africa,Africa,4072533,0,102595,0
Denmark,Europe,3414815,141,8773,2
Romania,Europe,3409997,0,68253,0
Sweden,Europe,2712743,0,24536,0
Serbia,Europe,2544952,211,18057,0
Singapore,Western Pacific,2534940,0,1872,0
Iraq,Eastern Mediterranean,2465545,0,25375,0
New Zealand,Western Pacific,2364304,3869,3229,0
Hungary,Europe,2203315,0,48800,0
Bangladesh,South-East Asia,2044861,297,29475,2
Slovakia,Europe,1866857,0,21167,0
Georgia,Europe,1848357,0,17116,0
Jordan,Eastern Mediterranean,1746997,0,14122,0
Ireland,Europe,1715065,145,9125,16
Pakistan,Eastern Mediterranean,1580631,0,30656,0
Kazakhstan,Europe,1502857,0,19072,0
Norway,Europe,1486483,182,5620,7
Finland,Europe,1483389,0,10087,0
Slovenia,Europe,1344653,0,9430,0
Lithuania,Europe,1322066,118,9694,1
Bulgaria,Europe,1299024,0,38397,0
Morocco,Eastern Mediterranean,1275293,20,16297,0
Croatia,Europe,1274123,0,18286,0
Guatemala,Americas,1271061,0,20235,0
Puerto Rico,Americas,1252713,0,5938,0
Costa Rica,Americas,1238883,0,9428,0
Lebanon,Eastern Mediterranean,1238552,0,10936,0
Bolivia (Plurinational State of),Americas,1206420,0,22399,0
Tunisia,Eastern Mediterranean,1153361,0,29423,0
Cuba,Americas,1115064,0,8530,0
Ecuador,Americas,1069114,0,36042,0
United Arab Emirates,Eastern Mediterranean,1067030,0,2349,0
Panama,Americas,1047321,0,8652,0
Uruguay,Americas,1038774,0,7634,0
Mongolia,Western Pacific,1010954,0,2284,0
Nepal,South-East Asia,1003398,2,12031,0
Belarus,Europe,994037,0,7118,0
Latvia,Europe,975812,0,7373,0
Saudi Arabia,Eastern Mediterranean,841469,0,9646,0
Azerbaijan,Europe,832036,15,10293,3
Paraguay,Americas,735759,0,19961,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,703228,0,5708,0
Bahrain,Eastern Mediterranean,696614,0,1536,0
Sri Lanka,South-East Asia,672569,0,16882,2
Dominican Republic,Americas,667048,0,4384,0
Kuwait,Eastern Mediterranean,666021,10,2570,0
Cyprus,Europe,660854,0,1364,0
Myanmar,South-East Asia,641100,26,19494,0
Republic of Moldova,Europe,620848,0,12125,0
Estonia,Europe,601746,0,2900,0
Venezuela (Bolivarian Republic of),Americas,552695,0,5856,0
Egypt,Eastern Mediterranean,516023,0,24830,0
Qatar,Eastern Mediterranean,514524,0,690,0
Libya,Eastern Mediterranean,507266,0,6437,0
Ethiopia,Africa,500946,0,7574,0
Réunion,Africa,494595,0,921,0
Honduras,Americas,474566,0,11127,0
Armenia,Europe,449293,11,8751,0
Bosnia and Herzegovina,Europe,403053,0,16352,0
Oman,Eastern Mediterranean,399449,0,4628,0
Luxembourg,Europe,383019,0,1000,0
Zambia,Africa,349287,0,4069,0
North Macedonia,Europe,348374,0,9941,0
Kenya,Africa,343918,0,5689,0
Albania,Europe,334090,0,3604,0
Botswana,Africa,330194,0,2800,0
Brunei Darussalam,Western Pacific,310106,0,163,0
Mauritius,Africa,308824,0,1053,0
Kosovo,Europe,273922,4,3209,0
Algeria,Africa,271852,0,6881,0
Nigeria,Africa,266675,0,3155,0
Zimbabwe,Africa,265693,0,5712,0
Montenegro,Europe,251133,0,2654,0
Mozambique,Africa,233417,0,2243,0
Martinique,Americas,230354,0,1104,0
Afghanistan,Eastern Mediterranean,224419,114,7938,2
Lao People's Democratic Republic,Western Pacific,218762,8,671,0
Iceland,Europe,208814,0,186,0
Guadeloupe,Americas,203235,0,1021,0
El Salvador,Americas,201785,0,4230,0
Trinidad and Tobago,Americas,191496,0,4390,0
Maldives,South-East Asia,186687,0,316,0
Namibia,Africa,171998,0,4098,0
Uganda,Africa,171729,0,3632,0
Uzbekistan,Europe,171711,0,1016,0
Ghana,Africa,171653,0,1462,0
Jamaica,Americas,155860,0,3596,0
Cambodia,Western Pacific,138940,2,3056,0
Rwanda,Africa,133194,0,1468,0
Cameroon,Africa,125090,0,1974,0
Malta,Europe,119423,0,872,0
Barbados,Americas,109503,0,620,0
Angola,Africa,105384,0,1934,0
French Guiana,Americas,98041,0,413,0
Democratic Republic of the Congo,Africa,97697,0,1468,0
Senegal,Africa,89014,0,1971,0
Malawi,Africa,88835,0,2686,0
Côte d’Ivoire,Africa,88338,0,835,0
Kyrgyzstan,Europe,87921,0,1024,0
Suriname,Americas,82588,0,1408,0
New Caledonia,Western Pacific,80064,0,314,0
French Polynesia,Western Pacific,78617,0,649,0
Eswatini,Africa,74882,0,1427,0
Guyana,Americas,73385,0,1299,0
Belize,Americas,70782,0,688,0
Fiji,Western Pacific,69047,0,885,0
Madagascar,Africa,68289,0,1425,0
Jersey,Europe,66391,0,161,0
Cabo Verde,Africa,64189,0,414,0
Sudan,Eastern Mediterranean,63993,0,5046,0
Mauritania,Africa,63712,0,997,0
Bhutan,South-East Asia,62691,0,21,0
Syrian Arab Republic,Eastern Mediterranean,57423,0,3163,0
Burundi,Africa,54234,0,15,0
Guam,Western Pacific,51786,0,415,0
Seychelles,Africa,50937,0,172,0
Gabon,Africa,48992,0,307,0
Andorra,Europe,48015,0,159,0
Papua New Guinea,Western Pacific,46864,0,670,0
Curaçao,Americas,45883,0,305,0
Aruba,Americas,44224,0,292,0
United Republic of Tanzania,Africa,43078,0,846,0
Mayotte,Africa,42027,0,187,0
Togo,Africa,39510,0,290,0
Guinea,Africa,38563,0,468,0
Bahamas,Americas,38084,0,844,0
Isle of Man,Europe,38008,0,116,0
Guernsey,Europe,35326,0,67,0
Faroe Islands,Europe,34658,0,28,0
Lesotho,Africa,34490,0,706,0
Haiti,Americas,34301,0,860,0
Mali,Africa,33151,0,743,0
Cayman Islands,Americas,31472,0,37,0
Saint Lucia,Americas,30052,0,409,0
Benin,Africa,28014,0,163,0
Somalia,Eastern Mediterranean,27334,0,1361,0
Micronesia (Federated States of),Western Pacific,26472,0,65,0
United States Virgin Islands,Americas,25389,0,132,0
Congo,Africa,25196,0,389,0
San Marino,Europe,24382,15,125,0
Timor-Leste,South-East Asia,23460,0,138,0
Burkina Faso,Africa,22056,0,396,0
Solomon Islands,Western Pacific,21611,0,153,0
Liechtenstein,Europe,21473,0,87,0
Gibraltar,Europe,20550,0,113,0
Grenada,Americas,19693,0,238,0
Bermuda,Americas,18860,0,165,0
South Sudan,Africa,18368,0,138,0
Tajikistan,Europe,17786,0,125,0
Equatorial Guinea,Africa,17130,0,183,0
Monaco,Europe,16871,13,67,0
Tonga,Western Pacific,16819,0,12,0
Samoa,Western Pacific,16775,0,31,0
Marshall Islands,Western Pacific,16098,0,17,0
Nicaragua,Americas,15984,0,245,0
Dominica,Americas,15760,0,74,0
Djibouti,Eastern Mediterranean,15690,0,189,0
Central African Republic,Africa,15367,0,113,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,14096,0,41,0
Gambia,Africa,12626,0,372,0
Saint Martin,Americas,12324,0,46,0
Vanuatu,Western Pacific,12019,0,14,0
Greenland,Europe,11971,0,21,0
Yemen,Eastern Mediterranean,11945,0,2159,0
Sint Maarten,Americas,11051,0,92,0
Eritrea,Africa,10189,0,103,0
Bonaire,Americas,9864,0,33,0
Saint Vincent and the Grenadines,Americas,9631,0,124,0
Guinea-Bissau,Africa,9614,0,177,0
Niger,Africa,9515,0,315,0
Comoros,Africa,9109,0,160,0
Antigua and Barbuda,Americas,9106,0,146,0
American Samoa,Western Pacific,8341,0,34,0
Liberia,Africa,8090,0,294,0
Sierra Leone,Africa,7762,0,125,0
Chad,Africa,7698,0,194,0
British Virgin Islands,Americas,7305,0,64,0
Cook Islands,Western Pacific,7152,1,2,0
Turks and Caicos Islands,Americas,6630,0,39,0
Saint Kitts and Nevis,Americas,6607,0,46,0
Sao Tome and Principe,Africa,6589,0,80,0
Palau,Western Pacific,6176,0,9,0
Saint Barthélemy,Americas,5507,0,5,0
Nauru,Western Pacific,5393,0,1,0
Kiribati,Western Pacific,5082,0,24,0
Anguilla,Americas,3904,0,12,0
Wallis and Futuna,Western Pacific,3550,0,8,0
Saint Pierre and Miquelon,Americas,3426,0,2,0
Tuvalu,Western Pacific,2943,0,1,0
"Saint Helena, Ascension and Tristan da Cunha",Africa,2166,0,0,0
Falkland Islands (Malvinas),Americas,1923,0,0,0
Montserrat,Americas,1403,0,8,0
Sint Eustatius,Americas,1221,0,6,0
Saba,Americas,837,0,2,0
Niue,Western Pacific,825,3,0,0
Other,Other,764,0,13,0
Tokelau,Western Pacific,80,0,0,0
Holy See,Europe,26,0,0,0
Pitcairn Islands,Western Pacific,4,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0
Turkmenistan,Europe,0,0,0,0